simpro_customer_id,access_method,parking_instructions,badge_required,escort_required,special_instructions,best_arrival_time
921,Other,,false,false,,
285,Other,,false,false,,
290,Other,,false,false,,
325,Other,,false,false,,
890,Other,,false,false,,
746,Other,,false,false,,
893,Other,,false,false,,
784,Other,,false,false,,
268,Other,,false,false,,
295,Other,,false,false,,
755,Other,,false,false,,
74,Other,,false,false,,
187,Other,,false,false,,
992,Other,,false,false,,
791,Other,,false,false,,
775,Other,,false,false,,
875,Other,,false,false,,
20,Other,,false,false,,
241,Other,,false,false,,
929,Other,,false,false,,
198,Other,,false,false,,
1002,Other,,false,false,,
213,Other,,false,false,,
1023,Other,,false,false,,
153,Other,,false,false,,
856,Other,,false,false,,
262,Other,,false,false,,
314,Other,,false,false,,
320,Other,,false,false,,
737,Other,,false,false,,
210,Other,,false,false,,
78,Other,,false,false,,
177,Other,,false,false,,
979,Other,,false,false,,
72,Other,,false,false,,
182,Other,,false,false,,
1050,Other,,false,false,,
804,Other,,false,false,,
180,Other,,false,false,,
100,Other,,false,false,,
172,Other,,false,false,,
832,Other,,false,false,,
286,Other,,false,false,,
38,Other,,false,false,,
148,Other,,false,false,,
113,Other,,false,false,,
964,Other,,false,false,,
79,Other,,false,false,,
223,Other,,false,false,,
251,Other,,false,false,,
11,Other,,false,false,,
766,Other,,false,false,,
5,Other,,false,false,,
827,Other,,false,false,,
169,Other,,false,false,,
1048,Other,,false,false,,
58,Other,,false,false,,
10,Other,,false,false,,
951,Other,,false,false,,
301,Other,,false,false,,
811,Other,,false,false,,
1064,Other,,false,false,,
902,Other,,false,false,,
224,Other,,false,false,,
56,Other,,false,false,,
849,Other,,false,false,,
9,Other,,false,false,,
967,Other,,false,false,,
874,Other,,false,false,,
95,Other,,false,false,,
821,Other,,false,false,,
212,Other,,false,false,,
208,Other,,false,false,,
306,Other,,false,false,,
860,Other,,false,false,,
321,Other,,false,false,,
1029,Other,,false,false,,
175,Other,,false,false,,
1067,Other,,false,false,,
48,Other,,false,false,,
751,Other,,false,false,,
16,Other,,false,false,,
203,Other,,false,false,,
911,Other,,false,false,,
93,Other,,false,false,,
829,Other,,false,false,,
65,Other,,false,false,,
219,Other,,false,false,,
822,Other,,false,false,,
141,Other,,false,false,,
1051,Other,,false,false,,
168,Other,,false,false,,
918,Other,,false,false,,
925,Other,,false,false,,
62,Other,,false,false,,
66,Other,,false,false,,
189,Other,,false,false,,
246,Other,,false,false,,
311,Other,,false,false,,
972,Other,,false,false,,
817,Other,,false,false,,
330,Other,,false,false,,
943,Other,,false,false,,
948,Other,,false,false,,
1062,Other,,false,false,,
237,Other,,false,false,,
163,Other,,false,false,,
42,Other,,false,false,,
278,Other,,false,false,,
296,Other,,false,false,,
834,Other,,false,false,,
263,Other,,false,false,,
870,Other,,false,false,,
1066,Other,,false,false,,
123,Other,,false,false,,
839,Other,,false,false,,
120,Other,,false,false,,
170,Other,,false,false,,
323,Other,,false,false,,
1004,Other,,false,false,,
265,Other,,false,false,,
133,Other,,false,false,,
1008,Other,,false,false,,
735,Other,,false,false,,
96,Other,,false,false,,
886,Other,,false,false,,
756,Other,,false,false,,
1063,Other,,false,false,,
137,Other,,false,false,,
302,Other,,false,false,,
776,Other,,false,false,,
762,Other,,false,false,,
939,Other,,false,false,,
227,Other,,false,false,,
121,Other,,false,false,,
1020,Other,,false,false,,
1025,Other,,false,false,,
344,Other,,false,false,,
176,Other,,false,false,,
200,Other,,false,false,,
257,Other,,false,false,,
966,Other,,false,false,,
115,Other,,false,false,,
127,Other,,false,false,,
970,Other,,false,false,,
816,Other,,false,false,,
144,Other,,false,false,,
976,Other,,false,false,,
910,Other,,false,false,,
318,Other,,false,false,,
181,Other,,false,false,,
294,Other,,false,false,,
994,Other,,false,false,,
869,Other,,false,false,,
1038,Other,,false,false,,
887,Other,,false,false,,
64,Other,,false,false,,
50,Other,,false,false,,
322,Other,,false,false,,
27,Other,,false,false,,
851,Other,,false,false,,
846,Other,,false,false,,
345,Other,,false,false,,
952,Other,,false,false,,
958,Other,,false,false,,
55,Other,,false,false,,
980,Other,,false,false,,
292,Other,,false,false,,
961,Other,,false,false,,
781,Other,,false,false,,
185,Other,,false,false,,
216,Other,,false,false,,
845,Other,,false,false,,
85,Other,,false,false,,
279,Other,,false,false,,
274,Other,,false,false,,
947,Other,,false,false,,
1015,Other,,false,false,,
960,Other,,false,false,,
840,Other,,false,false,,
201,Other,,false,false,,
897,Other,,false,false,,
883,Other,,false,false,,
862,Other,,false,false,,
1026,Other,,false,false,,
13,Other,,false,false,,
7,Other,,false,false,,
197,Other,,false,false,,
51,Other,,false,false,,
790,Other,,false,false,,
868,Other,,false,false,,
867,Other,,false,false,,
221,Other,,false,false,,
229,Other,,false,false,,
249,Other,,false,false,,
82,Other,,false,false,,
1044,Other,,false,false,,
305,Other,,false,false,,
986,Other,,false,false,,
1052,Other,,false,false,,
978,Other,,false,false,,
102,Other,,false,false,,
329,Other,,false,false,,
903,Other,,false,false,,
812,Other,,false,false,,
234,Other,,false,false,,
52,Other,,false,false,,
138,Other,,false,false,,
67,Other,,false,false,,
76,Other,,false,false,,
333,Other,,false,false,,
129,Other,,false,false,,
879,Other,,false,false,,
908,Other,,false,false,,
828,Other,,false,false,,
843,Other,,false,false,,
1039,Other,,false,false,,
794,Other,,false,false,,
818,Other,,false,false,,
1006,Other,,false,false,,
749,Other,,false,false,,
926,Other,,false,false,,
984,Other,,false,false,,
125,Other,,false,false,,
298,Other,,false,false,,
156,Other,,false,false,,
240,Other,,false,false,,
130,Other,,false,false,,
107,Other,,false,false,,
914,Other,,false,false,,
795,Other,,false,false,,
37,Other,,false,false,,
324,Other,,false,false,,
122,Other,,false,false,,
81,Other,,false,false,,
339,Other,,false,false,,
272,Other,,false,false,,
953,Other,,false,false,,
773,Other,,false,false,,
763,Other,,false,false,,
35,Other,,false,false,,
888,Other,,false,false,,
905,Other,,false,false,,
774,Other,,false,false,,
793,Other,,false,false,,
864,Other,,false,false,,
49,Other,,false,false,,
252,Other,,false,false,,
193,Other,,false,false,,
915,Other,,false,false,,
1016,Other,,false,false,,
954,Other,,false,false,,
202,Other,,false,false,,
70,Other,,false,false,,
245,Other,,false,false,,
303,Other,,false,false,,
54,Other,,false,false,,
823,Other,,false,false,,
235,Other,,false,false,,
232,Other,,false,false,,
171,Other,,false,false,,
1059,Other,,false,false,,
284,Other,,false,false,,
53,Other,,false,false,,
19,Other,,false,false,,
258,Other,,false,false,,
1017,Other,,false,false,,
87,Other,,false,false,,
779,Other,,false,false,,
1032,Other,,false,false,,
900,Other,,false,false,,
157,Other,,false,false,,
857,Other,,false,false,,
280,Other,,false,false,,
1014,Other,,false,false,,
767,Other,,false,false,,
21,Other,,false,false,,
1037,Other,,false,false,,
792,Other,,false,false,,
1003,Other,,false,false,,
105,Other,,false,false,,
1005,Other,,false,false,,
1045,Other,,false,false,,
327,Other,,false,false,,
309,Other,,false,false,,
90,Other,,false,false,,
1036,Other,,false,false,,
256,Other,,false,false,,
44,Other,,false,false,,
740,Other,,false,false,,
924,Other,,false,false,,
146,Other,,false,false,,
805,Other,,false,false,,
859,Other,,false,false,,
183,Other,,false,false,,
1024,Other,,false,false,,
782,Other,,false,false,,
98,Other,,false,false,,
33,Other,,false,false,,
29,Other,,false,false,,
336,Other,,false,false,,
342,Other,,false,false,,
876,Other,,false,false,,
80,Other,,false,false,,
159,Other,,false,false,,
1001,Other,,false,false,,
800,Other,,false,false,,
179,Other,,false,false,,
946,Other,,false,false,,
1021,Other,,false,false,,
831,Other,,false,false,,
205,Other,,false,false,,
126,Other,,false,false,,
225,Other,,false,false,,
770,Other,,false,false,,